Journal Title;"Online
ISSN";Subject Area;License types offered;Full Article Publication Charge;;
Canadian Public Administration;17547121;Public Administration;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Canadian Review of Sociology/Revue canadienne de sociologie;1755618X;General Sociology;CC BY, CC BY-NC or CC BY-NC-ND;$3.010;£1.980;€ 2.560
Cancer;10970142;Oncology & Radiotherapy;CC BY*, CC BY-NC or CC BY-NC-ND;$4.790;£3.430;€ 4.110
Cancer Cytopathology;19346638;Oncology & Radiotherapy;CC BY*, CC BY-NC or CC BY-NC-ND;$3.000;£1.960;€ 2.510
Catheterization and Cardiovascular Interventions;1522726X;Cardiovascular Disease;CC BY*, CC BY-NC or CC BY-NC-ND;$4.490;£3.000;€ 3.740
ce/papers;25097075;General & Introductory Civil Engineering & Construction;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
Cell Biochemistry and Function;10990844;Cell Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.810;€ 3.520
Cell Biology International;10958355;Cell & Molecular Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.730;£2.490;€ 3.080
Cereal Chemistry;19433638;Bakery & Cereals;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.270;€ 3.010
ChemBioChem;14397633;Biochemistry (Chemical Biology);CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.010;€ 3.700
ChemBioEng Reviews;21969744;General & Introductory Chemical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£3.010;€ 3.350
ChemCatChem;18673899;Catalysis;CC BY, CC BY-NC or CC BY-NC-ND;$4.500;£3.930;€ 3.170
Chemical Biology & Drug Design;17470285;Biochemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.290
Chemical Engineering & Technology;15214125;General & Introductory Chemical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.930;£2.600;€ 3.260
Chemie Ingenieur Technik;15222640;General & Introductory Chemical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Chemistry - A European Journal;15213765;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.640;£3.040;€ 4.070
Chemistry - An Asian Journal;1861471X;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.520;£3.030;€ 3.980
Chemistry & Biodiversity;16121880;Pharmaceutical & Medicinal Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.880;£2.570;€ 3.220
ChemistrySelect;23656549;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.880;£2.570;€ 3.220
ChemKon;15213730;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.420;€ 2.630
ChemMedChem;18607187;Pharmaceutical & Medicinal Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
CHEMNANOMAT;2199692X;Nanochemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.020;£2.650;€ 3.360
ChemPhotoChem;23670932;Photochemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
ChemPhysChem;14397641;Physical Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.070;€ 3.800
ChemPlusChem;21926506;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
ChemSusChem;1864564X;Sustainable Chemistry & Green Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.070;€ 3.800
ChemSystemsChem;25704206;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Child & Family Social Work;13652206;Social Work;CC BY, CC BY-NC or CC BY-NC-ND;$3.560;£2.340;€ 2.970
Child Abuse Review;10990852;Childhood;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.780
Child and Adolescent Mental Health;14753588;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.520;£2.380;€ 2.890
Child Development;14678624;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$4.320;£2.840;€ 3.540
Child Development Perspectives;17508606;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.070
Child: Care, Health and Development;13652214;Family Studies General;CC BY, CC BY-NC or CC BY-NC-ND;$3.850;£2.570;€ 3.230
Children & Society;10990860;Childhood;CC BY, CC BY-NC or CC BY-NC-ND;$3.620;£2.380;€ 3.020
China & World Economy;1749124X;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.840;£1.900;€ 2.350
Chinese Journal of Chemistry;16147065;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
Chirality;1520636X;Organic Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
City & Society;1548744X;General & Introductory Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.340;£2.220;€ 2.790
Civil Engineering Design;2625073X;General & Introductory Civil Engineering & Construction;CC BY, CC BY-NC or CC BY-NC-ND;$2.940;£2.480;€ 2.220
Cladistics;10960031;Evolutionary Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.960;£2.640;€ 3.300
CLEAN - Soil, Air, Water;18630669;Environmental Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.870;€ 3.520
Clinical & Experimental Allergy;13652222;Allergy & Clinical Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$4.760;£3.390;€ 4.070
Clinical & Experimental Ophthalmology;14429071;Ophthalmology & Optometry;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Clinical Advances in Periodontics;21630097;General Dentistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
Clinical Anatomy;10982353;Anatomy & Physiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.010;€ 3.800
Clinical and Experimental Neuroimmunology;17591961;Neurology;CC BY*, CC BY-NC or CC BY-NC-ND;$2.710;£1.810;€ 2.260
Clinical and Experimental Pharmacology and Physiology;14401681;Pharmacology & Pharmaceutical Medicine;CC BY*, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Clinical Endocrinology;13652265;Endocrinology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.250;£2.830;€ 3.550
Clinical Genetics;13990004;Medical Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$4.980;£3.300;€ 4.170
Clinical Implant Dentistry and Related Research;17088208;Implant Dentistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 3.980
Clinical Obesity;17588111;Obesity;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.730
Clinical Oral Implants Research;16000501;Implant Dentistry;CC BY*, CC BY-NC or CC BY-NC-ND;$5.170;£3.460;€ 4.320
Clinical Otolaryngology;17494486;Otolaryngology (Ear, Nose & Throat);CC BY, CC BY-NC or CC BY-NC-ND;$4.520;£3.000;€ 3.730
Clinical Pharmacology & Therapeutics;15326535;Clinical Pharmacology & Therapeutics;CC BY*, CC BY-NC or CC BY-NC-ND;$4.410;£3.360;€ 3.750
Clinical Pharmacology in Drug Development;21607648;Clinical Pharmacology & Therapeutics;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.560;€ 3.170
Clinical Physiology and Functional Imaging;1475097X;Physiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Clinical Psychology & Psychotherapy;10990879;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.810;£2.520;€ 3.140
Clinical Transplantation;13990012;Transplantation;CC BY*, CC BY-NC or CC BY-NC-ND;$4.550;£3.020;€ 3.810
Cochrane Library* (Not eligible for APC coverage through a Transitional Deal);14651858;;CC BY, CC BY-NC or CC BY-NC-ND;$5.100;£3.400;€ 4.250
Cognitive Science;15516709;Cognitive Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.000;£2.650;€ 3.300
Color Research and Application;15206378;Industrial Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.180;£2.130;€ 2.660
Coloration Technology;14784408;Paints, Pigments, Coatings, Dyes;CC BY, CC BY-NC or CC BY-NC-ND;$3.950;£2.650;€ 3.300
Colorectal Disease;14631318;Surgery & Surgical Specialties;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
Communications on Pure and Applied Mathematics;10970312;Applied Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$5.230;£3.470;€ 4.380
Community Dentistry and Oral Epidemiology;16000528;General Dentistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.230;£2.830;€ 3.510
Comprehensive Physiology;20404603;Physiology;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£3.120;€ 3.600
Comprehensive Reviews in Food Science and Food Safety;15414337;General & Introductory Food Science & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.860;€ 4.320
Computational Intelligence;14678640;General & Introductory Computer Science;CC BY, CC BY-NC or CC BY-NC-ND;$2.860;£1.930;€ 2.390
Computer Animation and Virtual Worlds;1546427X;Visualization & Computer Graphics;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.770
Computer Applications In Engineering Education;10990542;General & Introductory Computer Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.410
Computer Graphics Forum;14678659;Visualization & Computer Graphics;CC BY, CC BY-NC or CC BY-NC-ND;$3.710;£2.470;€ 3.090
Computer-Aided Civil and Infrastructure Engineering;14678667;General & Introductory Civil Engineering & Construction;CC BY, CC BY-NC or CC BY-NC-ND;$5.230;£3.470;€ 4.380
Concurrency and Computation: Practice and Experience;15320634;Programming & Software Development;CC BY, CC BY-NC or CC BY-NC-ND;$5.140;£3.410;€ 4.300
Conflict Resolution Quarterly;15411508;Negotiation & Conflict Resolution;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Congenital Anomalies;17414520;Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$2.830;£1.900;€ 2.370
Conservation Biology;15231739;Conservation Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Constellations;14678675;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Consumer Psychology Review;24761281;Business & Management Special Topics;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Contact Dermatitis;16000536;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$5.060;£3.380;€ 4.230
Contemporary Accounting Research;19113846;Financial Accounting;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Contemporary Economic Policy;14657287;Public Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.970;£1.940;€ 2.540
Contributions to Plasma Physics;15213986;General Physics;CC BY, CC BY-NC or CC BY-NC-ND;$2.930;£1.970;€ 2.450
Corporate Governance: An International Review;14678683;Corporate Governance;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.720;€ 3.350
Corporate Social Responsibility and Environmental Management;15353966;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.720;€ 3.400
Counselling and Psychotherapy Research;17461405;Psychology General;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Counselor Education and Supervision;15566978;Psychotherapy & Counseling;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Creativity and Innovation Management;14678691;Creativity & Innovation Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.770
Criminal Behaviour and Mental Health;14712857;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.000
Criminology;17459125;Criminology;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 2.970
Criminology & Public Policy;17459133;Criminology;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.810
Critical Quarterly;14678705;General Literature;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Crop Science;14350653;Plant Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$1.980;£1.550;€ 1.780
Crop, Forage & Turfgrass Management;23743832;Crops;CC BY, CC BY-NC or CC BY-NC-ND;$1.800;£1.410;€ 1.630
Crystal Research and Technology;15214079;General Physics;CC BY, CC BY-NC or CC BY-NC-ND;$3.500;£2.380;€ 2.910
Culture, Agriculture, Food and Environment;21539561;Anthropology Special Topics;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Curator: The Museum Journal;21516952;Museum & Heritage Studies;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Current Protocols;26911299;General & Introductory Life Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$4.890;£3.910;€ 4.430
Curtis's Botanical Magazine;14678748;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
Cytometry Part A;15524930;Cell & Molecular Biology;CC BY*, CC BY-NC or CC BY-NC-ND;$3.970;£2.650;€ 3.310
Cytometry Part B: Clinical Cytometry;15524957;Cell & Molecular Biology;CC BY*, CC BY-NC or CC BY-NC-ND;$3.800;£2.560;€ 3.170
Cytopathology;13652303;Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$3.900;£2.540;€ 3.270
Cytoskeleton;19493592;Cell & Molecular Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.560;€ 3.290
Decision Sciences;15405915;Decision Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.060;€ 2.600
Decision Sciences Journal of Innovative Education;15404609;Decision Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.330
Dental Traumatology;16009657;Dental Traumatology;CC BY, CC BY-NC or CC BY-NC-ND;$4.330;£2.900;€ 3.620
Dermatological Reviews;26377489;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Developing World Bioethics;14718847;Bioethics & Medical Ethics;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Development and Change;14677660;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.870;£2.540;€ 3.230
Development Policy Review;14677679;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Development, Growth & Differentiation;1440169X;Developmental Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.990;£2.660;€ 3.330
Developmental Dynamics;10970177;Developmental Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.530;€ 3.980
Developmental Medicine & Child Neurology;14698749;Neurology;CC BY, CC BY-NC or CC BY-NC-ND;$5.300;£3.570;€ 4.440
Developmental Neurobiology;1932846X;Neuroscience;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.070;€ 3.810
Developmental Psychobiology;10982302;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.460;€ 3.160
Developmental Science;14677687;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$4.140;£2.810;€ 3.450
Diabetes, Obesity and Metabolism;14631326;Diabetes;CC BY*, CC BY-NC or CC BY-NC-ND;$5.380;£3.810;€ 4.650
Diabetes/Metabolism Research and Reviews;15207560;Diabetes;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.130;€ 3.980
Diabetic Medicine;14645491;Diabetes;CC BY*, CC BY-NC or CC BY-NC-ND;$4.870;£3.240;€ 4.060
Diagnostic Cytopathology;10970339;Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.240
Dialog;15406385;Contemporary Theology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Die Unterrichtspraxis/Teaching German;17561221;Applied Linguistics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Digest of Middle East Studies;19493606;Middle Eastern Politics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Digestive Endoscopy;14431661;Endoscopy;CC BY, CC BY-NC or CC BY-NC-ND;$3.780;£2.520;€ 3.150
Disasters;14677717;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.730;£2.510;€ 3.120
Drug and Alcohol Review;14653362;Addiction;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.970;€ 3.730
Drug Development Research;10982299;Pharmacology & Pharmaceutical Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.980;£2.670;€ 3.300
Drug Testing and Analysis;19427611;Analytical Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.440;£2.970;€ 3.690
Dyslexia;10990909;Reading & Dyslexia;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Early Intervention in Psychiatry;17517893;Psychiatry;CC BY, CC BY-NC or CC BY-NC-ND;$4.060;£2.710;€ 3.340
Early Medieval Europe;14680254;Medieval History (500-1500);CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Earth Surface Processes and Landforms;10969837;Geomorphology;CC BY, CC BY-NC or CC BY-NC-ND;$5.330;£3.570;€ 4.430
Earthquake Engineering & Structural Dynamics;10969845;Structural & Building Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.520;€ 3.120
Earthquake Engineering and Resilience;27705706;Earthquake;CC BY;$2.650;£2.015;€ 2.238
Echocardiography;15408175;Cardiovascular Disease;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.070
Ecohydrology;19360592;Hydrological Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.120;€ 3.920
Ecological Applications;19395582;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.970;£2.650;€ 3.310
Ecological Entomology;13652311;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$4.410;£2.940;€ 3.680
Ecological Management & Restoration;14428903;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$2.630;£1.750;€ 2.190
Ecological Monographs;15577015;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.970;£2.650;€ 3.310
Ecological Research;14401703;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.000;£2.000;€ 2.500
Ecology;19399170;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.970;£2.650;€ 3.310
Ecology Letters;14610248;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$5.300;£3.510;€ 4.440
Ecology of Freshwater Fish;16000633;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
Econometrica;14680262;Econometrics;CC BY, CC BY-NC or CC BY-NC-ND;$5.290;£3.970;€ 4.600
Economic Affairs;14680270;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Economic Anthropology;23304847;General & Introductory Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Economic Inquiry;14657295;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.320;€ 2.800
Economic Notes;14680300;Financial Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
"Economic Papers; A journal of applied economics and policy";17593441;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Economic Record;14754932;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Economica;14680335;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.610;€ 2.950
Economics & Politics;14680343;Political Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.740
Economics of Transition and Institutional Change;25776983;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.010;£2.040;€ 2.500
Educational Measurement: Issues and Practice;17453992;Educational Research & Statistics;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.540;€ 2.920
Educational Theory;17415446;Theory of Education;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.330
Electrical Engineering in Japan;15206416;Power Technology & Power Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$2.630;£1.750;€ 2.170
Electroanalysis;15214109;Analytical Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Electronics and Communications in Japan;19429541;Circuit Theory & Design;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 2.970
ELECTROPHORESIS;15222683;Biochemistry (Chemical Biology);CC BY, CC BY-NC or CC BY-NC-ND;$3.940;£2.610;€ 3.300
Emergency Medicine Australasia;17426723;Emergency Medicine & Trauma;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Energy Storage;25784862;Energy Storage;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Energy Technology;21944296;General & Introductory Chemical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$4.050;£2.760;€ 3.360
Entomologia Experimentalis et Applicata;15707458;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.970;€ 3.680
Entomological Research;17485967;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$3.310;£2.210;€ 2.760
Entomological Science;14798298;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.830
Environmental and Molecular Mutagenesis;10982280;Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Environmental Microbiology;14622920;Microbial Ecology;CC BY, CC BY-NC or CC BY-NC-ND;$4.640;£3.300;€ 3.980
Environmental Policy and Governance;17569338;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.560;€ 3.170
Environmental Progress & Sustainable Energy;19447450;Environmental Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.810;£2.520;€ 3.160
Environmental Quality Management;15206483;Environmental Management, Policy & Planning;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
Environmental Toxicology;15227278;Toxicology;CC BY, CC BY-NC or CC BY-NC-ND;$4.120;£2.780;€ 3.450
Environmetrics;1099095X;Environmental Statistics & Environmetrics;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 4.040
Epilepsia;15281167;Neurology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.360;£2.920;€ 3.640
Epileptic Disorders;19506945;Neurology;CC BY* or CC BY, CC-BY-NC, CC-BY-ND and CC-BY-NC-ND;$2.430;£1.760;€ 2.100
EPPO Bulletin;13652338;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
Equine Veterinary Education;20423292;Veterinary Medicine - Equine;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.470;€ 3.140
Equine Veterinary Journal;20423306;Veterinary Medicine - Equine;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
Ethics & Human Research;25782363;Bioethics & Medical Ethics;CC BY;$3.240;£2.160;€ 2.730
Ethology;14390310;Animal Behavior;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.120;€ 3.850
Ethos;15481352;Social & Cultural Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
EuroChoices;1746692X;Agricultural Economics & Resource Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
European Eating Disorders Review;10990968;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$4.330;£2.890;€ 3.610
European Financial Management;1468036X;Institutional & Corporate Finance;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.770
European Journal of Clinical Investigation;13652362;General & Internal Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.720;€ 3.400
European Journal of Dental Education;16000579;Community Dentistry & Public Health;CC BY, CC BY-NC or CC BY-NC-ND;$4.330;£2.890;€ 3.600
European Journal of Education;14653435;General & Introductory Education;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.770
European Journal of Haematology;16000609;Hematology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.650;£3.070;€ 3.920
European Journal of Heart Failure;18790844;Heart Failure;CC BY*, CC BY-NC or CC BY-NC-ND;$5.300;£3.460;€ 4.440
European Journal of Immunology;15214141;Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.250;€ 3.920
European Journal of Inorganic Chemistry;10990682;Inorganic Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.050;£2.750;€ 3.350
European Journal of Lipid Science and Technology;14389312;Oils & Fats;CC BY, CC BY-NC or CC BY-NC-ND;$4.020;£2.730;€ 3.350
European Journal of Neuroscience;14609568;Neuroscience;CC BY, CC BY-NC or CC BY-NC-ND;$3.560;£2.380;€ 2.980
European Journal of Oral Sciences;16000722;Oral Sciences & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.810;€ 3.520
European Journal of Organic Chemistry;10990690;Organic Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.330;£2.920;€ 3.620
European Journal of Pain;15322149;Pain Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$4.310;£2.870;€ 3.590
European Journal of Philosophy;14680378;Continental Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.660
European Journal of Political Research;14756765;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.900;£2.590;€ 3.240
European Journal of Political Research Political Data Yearbook;20478852;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.060;€ 2.580
European Journal of Social Psychology;10990992;Social Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.980;£2.640;€ 3.310
European Journal of Soil Science;13652389;Soil Science & Geoarchaeology;CC BY, CC BY-NC or CC BY-NC-ND;$4.490;£2.960;€ 3.770
European Law Journal;14680386;General & Introductory Law;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.000
European Management Review;17404762;Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.850
European Policy Analysis;23806567;Political Science Special Topics;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 3.120
Evolution & Development;1525142X;Evolution;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Evolutionary Anthropology;15206505;Evolutionary Biology;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.350;€ 4.150
Experimental Dermatology;16000625;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.230;€ 4.090
Expert Systems;14680394;General & Introductory Electrical & Electronics Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.600;£2.390;€ 3.020
Family & Consumer Sciences Research Journal;15523934;Family Studies General;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Family Court Review;17441617;Civil Law;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Family Process;15455300;Family Studies General;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Family Relations;17413729;Family Studies General;CC BY, CC BY-NC or CC BY-NC-ND;$3.590;£2.320;€ 2.980
